File,Meth,Depth,Entropy
news,Hash131072,6,1224017
news,Hash131072,7,1226599
news,Hash131072,8,1229802
news,Hash131072,9,1231949
news,Hash262144,1,1568498
news,Hash262144,2,1327883
news,Hash262144,3,1228720
news,Hash262144,4,1216851
news,Hash262144,5,1216636
news,Hash262144,6,1217201
news,Hash262144,7,1218052
news,Hash262144,8,1218481
news,Hash262144,9,1220582
news,Hash524288,1,1568498
news,Hash524288,2,1327883
news,Hash524288,3,1228089
news,Hash524288,4,1215426
news,Hash524288,5,1214385
news,Hash524288,6,1214533
news,Hash524288,7,1214836
news,Hash524288,8,1215424
news,Hash524288,9,1215785
obj1,Hash128,1,104372
obj1,Hash128,2,109270.9
obj1,Hash128,3,111823.5
obj1,Hash128,4,114276.5
obj1,Hash128,5,115634.6
obj1,Hash128,6,117130.9
obj1,Hash128,7,118276.7
obj1,Hash128,8,118580.2
obj1,Hash128,9,119200
obj1,Hash256,1,100038.2
obj1,Hash256,2,104028.4
obj1,Hash256,3,106604.3
obj1,Hash256,4,109506.5
obj1,Hash256,5,110916.2
obj1,Hash256,6,111322.5
obj1,Hash256,7,113342.7
obj1,Hash256,8,113813.7
obj1,Hash256,9,115389.2
obj1,Hash512,1,100038.2
obj1,Hash512,2,100554.2
obj1,Hash512,3,102083.7
obj1,Hash512,4,104454.1
obj1,Hash512,5,106365.9
obj1,Hash512,6,107921.5
obj1,Hash512,7,109221.7
obj1,Hash512,8,110177.9
obj1,Hash512,9,110771.9
obj1,Hash1024,1,100049
obj1,Hash1024,2,98041.53
obj1,Hash1024,3,98817.98
obj1,Hash1024,4,100521.6
obj1,Hash1024,5,101874.5
obj1,Hash1024,6,103051.1
obj1,Hash1024,7,104271.4
obj1,Hash1024,8,105029.6
obj1,Hash1024,9,106471.7
obj1,Hash2048,1,100049
obj1,Hash2048,2,96699.45
obj1,Hash2048,3,96342.49
obj1,Hash2048,4,97400.04
obj1,Hash2048,5,98122.13
obj1,Hash2048,6,99142.76
obj1,Hash2048,7,99788.59
obj1,Hash2048,8,100600.5
obj1,Hash2048,9,101236.1
obj1,Hash4096,1,100049
obj1,Hash4096,2,96185.61
obj1,Hash4096,3,95256.14
obj1,Hash4096,4,95402.13
obj1,Hash4096,5,96026.4
obj1,Hash4096,6,96544.73
obj1,Hash4096,7,97026.11
obj1,Hash4096,8,97623.22
obj1,Hash4096,9,98095.62
obj1,Hash8192,1,100049
obj1,Hash8192,2,95997.59
obj1,Hash8192,3,94914.3
obj1,Hash8192,4,94964.93
obj1,Hash8192,5,95124.69
obj1,Hash8192,6,95400.19
obj1,Hash8192,7,95630.69
obj1,Hash8192,8,95796.71
obj1,Hash8192,9,96122.95
obj1,Hash16384,1,100049
obj1,Hash16384,2,95834.14
obj1,Hash16384,3,94839.11
obj1,Hash16384,4,94692.81
obj1,Hash16384,5,94697.81
obj1,Hash16384,6,94785.39
obj1,Hash16384,7,94895.53
obj1,Hash16384,8,95003.09
obj1,Hash16384,9,95088.69
obj1,Hash32768,1,100049
obj1,Hash32768,2,95765.71
obj1,Hash32768,3,94661.58
obj1,Hash32768,4,94421.51
obj1,Hash32768,5,94357
obj1,Hash32768,6,94477.66
obj1,Hash32768,7,94437.97
obj1,Hash32768,8,94463.6
obj1,Hash32768,9,94522.71
obj1,Hash65536,1,100049
obj1,Hash65536,2,95765.71
obj1,Hash65536,3,94741.61
obj1,Hash65536,4,94383.29
obj1,Hash65536,5,94321.9
obj1,Hash65536,6,94265.34
obj1,Hash65536,7,94282.21
obj1,Hash65536,8,94277.85
obj1,Hash65536,9,94290.25
obj1,Hash131072,1,100049
obj1,Hash131072,2,95765.71
obj1,Hash131072,3,94575.37
obj1,Hash131072,4,94350.34
obj1,Hash131072,5,94286.87
obj1,Hash131072,6,94260.65
obj1,Hash131072,7,94223.69
obj1,Hash131072,8,94222.8
obj1,Hash131072,9,94191.78
obj1,Hash262144,1,100049
obj1,Hash262144,2,95765.71
obj1,Hash262144,3,94570.77
obj1,Hash262144,4,94340.54
obj1,Hash262144,5,94298.89
obj1,Hash262144,6,94259.63
obj1,Hash262144,7,94207.22
obj1,Hash262144,8,94187.25
obj1,Hash262144,9,94161.09
obj1,Hash524288,1,100049
obj1,Hash524288,2,95597.03
obj1,Hash524288,3,94403.79
obj1,Hash524288,4,94166.77
obj1,Hash524288,5,94129.64
obj1,Hash524288,6,94079.14
obj1,Hash524288,7,94152.64
obj1,Hash524288,8,94027.25
obj1,Hash524288,9,94017.55
obj2,Hash128,1,1050533
obj2,Hash128,2,1153356
obj2,Hash128,3,1247322
obj2,Hash128,4,1358253
obj2,Hash128,5,1420394
obj2,Hash128,6,1429728
obj2,Hash128,7,1477166
obj2,Hash128,8,1481095
obj2,Hash128,9,1495567
obj2,Hash256,1,1002473
obj2,Hash256,2,1093219
obj2,Hash256,3,1161683
obj2,Hash256,4,1253319
obj2,Hash256,5,1344071
obj2,Hash256,6,1365775
obj2,Hash256,7,1420956
obj2,Hash256,8,1429637
obj2,Hash256,9,1472776
obj2,Hash512,1,1002473
obj2,Hash512,2,1027930
obj2,Hash512,3,1104437
obj2,Hash512,4,1186091
obj2,Hash512,5,1263848
obj2,Hash512,6,1295903
obj2,Hash512,7,1345024
obj2,Hash512,8,1300062
obj2,Hash512,9,1385526
obj2,Hash1024,1,1002345
obj2,Hash1024,2,986656.1
obj2,Hash1024,3,1026512
obj2,Hash1024,4,1097654
obj2,Hash1024,5,1161968
obj2,Hash1024,6,1154577
obj2,Hash1024,7,1207948
obj2,Hash1024,8,1219112
obj2,Hash1024,9,1289331
obj2,Hash2048,1,1002345
obj2,Hash2048,2,936122.6
obj2,Hash2048,3,967971.1
obj2,Hash2048,4,1042053
obj2,Hash2048,5,1053354
obj2,Hash2048,6,1086559
obj2,Hash2048,7,1109989
obj2,Hash2048,8,1148106
obj2,Hash2048,9,1205078
obj2,Hash4096,1,1002345
obj2,Hash4096,2,909068.3
obj2,Hash4096,3,913820.7
obj2,Hash4096,4,952132.7
obj2,Hash4096,5,978651.4
obj2,Hash4096,6,999648.1
obj2,Hash4096,7,1014566
obj2,Hash4096,8,1032115
obj2,Hash4096,9,1058626
obj2,Hash8192,1,1002345
obj2,Hash8192,2,888007
obj2,Hash8192,3,878965.3
obj2,Hash8192,4,899743.7
obj2,Hash8192,5,923953.8
obj2,Hash8192,6,946065.1
obj2,Hash8192,7,964402.2
obj2,Hash8192,8,984650.9
obj2,Hash8192,9,1005168
obj2,Hash16384,1,1002345
obj2,Hash16384,2,877021
obj2,Hash16384,3,854594.7
obj2,Hash16384,4,866795.9
obj2,Hash16384,5,882113.1
obj2,Hash16384,6,897445.5
obj2,Hash16384,7,904258.8
obj2,Hash16384,8,922516.6
obj2,Hash16384,9,936804.1
obj2,Hash32768,1,1002345
obj2,Hash32768,2,876009.5
obj2,Hash32768,3,844575.7
obj2,Hash32768,4,844866.3
obj2,Hash32768,5,853582.3
obj2,Hash32768,6,864883
obj2,Hash32768,7,871225.5
obj2,Hash32768,8,881079.2
obj2,Hash32768,9,889878.5
obj2,Hash65536,1,1002345
obj2,Hash65536,2,876009.5
obj2,Hash65536,3,839166.4
obj2,Hash65536,4,831737
obj2,Hash65536,5,836140.9
obj2,Hash65536,6,840604.8
obj2,Hash65536,7,847514.9
obj2,Hash65536,8,855569.8
obj2,Hash65536,9,859547.9
obj2,Hash131072,1,1002345
obj2,Hash131072,2,876009.5
obj2,Hash131072,3,836904.7
obj2,Hash131072,4,825167.8
obj2,Hash131072,5,829506.3
obj2,Hash131072,6,830789.2
obj2,Hash131072,7,836613
obj2,Hash131072,8,839123
obj2,Hash131072,9,840785.3
obj2,Hash262144,1,1002345
obj2,Hash262144,2,876009.5
obj2,Hash262144,3,835789.3
obj2,Hash262144,4,824952.8
obj2,Hash262144,5,824690.1
obj2,Hash262144,6,825875.5
obj2,Hash262144,7,828273.1
obj2,Hash262144,8,830792.8
obj2,Hash262144,9,830704.5
obj2,Hash524288,1,1002345
obj2,Hash524288,2,875945
obj2,Hash524288,3,835735.2
obj2,Hash524288,4,823355.5
obj2,Hash524288,5,823645.4
obj2,Hash524288,6,823853.2
obj2,Hash524288,7,825384.7
obj2,Hash524288,8,824309.1
obj2,Hash524288,9,825783.1
paper1,Hash128,1,205470.2
paper1,Hash128,2,212036.5
paper1,Hash128,3,220454.8
paper1,Hash128,4,226897.3
paper1,Hash128,5,228952.4
paper1,Hash128,6,231274.1
paper1,Hash128,7,235139.1
paper1,Hash128,8,236310.7
paper1,Hash128,9,240466.4
paper1,Hash256,1,205470.2
paper1,Hash256,2,202723
paper1,Hash256,3,210799.4
paper1,Hash256,4,214990.9
paper1,Hash256,5,218702.7
paper1,Hash256,6,222126.2
paper1,Hash256,7,226006.4
paper1,Hash256,8,226925.9
paper1,Hash256,9,229985.7
paper1,Hash512,1,205470.2
paper1,Hash512,2,193522.3
paper1,Hash512,3,200358.6
paper1,Hash512,4,206713.5
paper1,Hash512,5,211471.5
paper1,Hash512,6,214018.2
paper1,Hash512,7,216599.7
paper1,Hash512,8,218741.7
paper1,Hash512,9,220379.1
paper1,Hash1024,1,205481.4
paper1,Hash1024,2,187174.8
paper1,Hash1024,3,190854.3
paper1,Hash1024,4,195910.6
paper1,Hash1024,5,200283.3
paper1,Hash1024,6,204268.2
paper1,Hash1024,7,207577.6
paper1,Hash1024,8,208716.2
paper1,Hash1024,9,211522.9
paper1,Hash2048,1,205481.4
paper1,Hash2048,2,183904.8
paper1,Hash2048,3,184236.2
paper1,Hash2048,4,187722.8
paper1,Hash2048,5,191230.6
paper1,Hash2048,6,194619.3
paper1,Hash2048,7,197666.3
paper1,Hash2048,8,200122.4
paper1,Hash2048,9,201661.7
paper1,Hash4096,1,205481.4
paper1,Hash4096,2,183086.6
paper1,Hash4096,3,180559.5
paper1,Hash4096,4,182490.9
paper1,Hash4096,5,185208.5
paper1,Hash4096,6,187134.8
paper1,Hash4096,7,189608.5
paper1,Hash4096,8,191232.6
paper1,Hash4096,9,192353.6
paper1,Hash8192,1,205481.4
paper1,Hash8192,2,182500.1
paper1,Hash8192,3,178276.5
paper1,Hash8192,4,179170.8
paper1,Hash8192,5,180666.9
paper1,Hash8192,6,182039
paper1,Hash8192,7,183599.2
paper1,Hash8192,8,184676.6
paper1,Hash8192,9,185308.6
paper1,Hash16384,1,205481.4
paper1,Hash16384,2,180167.7
paper1,Hash16384,3,176924.6
paper1,Hash16384,4,176998.5
paper1,Hash16384,5,177897
paper1,Hash16384,6,178652.5
paper1,Hash16384,7,179408.5
paper1,Hash16384,8,180080.3
paper1,Hash16384,9,180767.4
paper1,Hash32768,1,205481.4
paper1,Hash32768,2,180167.7
paper1,Hash32768,3,176395.5
paper1,Hash32768,4,176317.2
paper1,Hash32768,5,176720.8
paper1,Hash32768,6,177148
paper1,Hash32768,7,177570
paper1,Hash32768,8,177825.2
paper1,Hash32768,9,178200.7
paper1,Hash65536,1,205481.4
paper1,Hash65536,2,180167.7
paper1,Hash65536,3,176139.5
paper1,Hash65536,4,175923.6
paper1,Hash65536,5,176118.8
paper1,Hash65536,6,176297.4
paper1,Hash65536,7,176420
paper1,Hash65536,8,176481.1
paper1,Hash65536,9,176718
paper1,Hash131072,1,205481.4
paper1,Hash131072,2,180167.7
paper1,Hash131072,3,175794.8
paper1,Hash131072,4,175501.5
paper1,Hash131072,5,175589.1
paper1,Hash131072,6,175724.4
paper1,Hash131072,7,175807.9
paper1,Hash131072,8,175854
paper1,Hash131072,9,175967
paper1,Hash262144,1,205481.4
paper1,Hash262144,2,180167.7
paper1,Hash262144,3,175701.6
paper1,Hash262144,4,175391.7
paper1,Hash262144,5,175486.2
paper1,Hash262144,6,175550.5
paper1,Hash262144,7,175604.9
paper1,Hash262144,8,175610.5
paper1,Hash262144,9,175637.9
paper1,Hash524288,1,205481.4
paper1,Hash524288,2,180167.7
paper1,Hash524288,3,175640.2
paper1,Hash524288,4,175335.9
paper1,Hash524288,5,175391
paper1,Hash524288,6,175409.5
paper1,Hash524288,7,175395.1
paper1,Hash524288,8,175413.5
paper1,Hash524288,9,175419.8
paper2,Hash128,1,300966.7
paper2,Hash128,2,304560.5
paper2,Hash128,3,316633.6
paper2,Hash128,4,321213.2
paper2,Hash128,5,327325.1
paper2,Hash128,6,329867.3
paper2,Hash128,7,335951.6
paper2,Hash128,8,337052.6
paper2,Hash128,9,340137.8
paper2,Hash256,1,300966.7
paper2,Hash256,2,289810.9
paper2,Hash256,3,301012.1
paper2,Hash256,4,310068.5
paper2,Hash256,5,314658.6
paper2,Hash256,6,318812.4
paper2,Hash256,7,321407.7
paper2,Hash256,8,325788.9
paper2,Hash256,9,327128
paper2,Hash512,1,300966.7
paper2,Hash512,2,276846.6
paper2,Hash512,3,284583.9
paper2,Hash512,4,293685.7
paper2,Hash512,5,300033.3
paper2,Hash512,6,305488.4
paper2,Hash512,7,309678.3
paper2,Hash512,8,313269.9
paper2,Hash512,9,315855
paper2,Hash1024,1,300982.6
paper2,Hash1024,2,270755.8
paper2,Hash1024,3,273038.8
paper2,Hash1024,4,280427.3
paper2,Hash1024,5,286888
paper2,Hash1024,6,290361.6
paper2,Hash1024,7,294704
paper2,Hash1024,8,299253.6
paper2,Hash1024,9,302143
paper2,Hash2048,1,300982.6
paper2,Hash2048,2,266932.6
paper2,Hash2048,3,264334.6
paper2,Hash2048,4,269320.4
paper2,Hash2048,5,274683.8
paper2,Hash2048,6,278677.4
paper2,Hash2048,7,282325.8
paper2,Hash2048,8,286633.7
paper2,Hash2048,9,289709.9
paper2,Hash4096,1,300982.6
paper2,Hash4096,2,265476.2
paper2,Hash4096,3,258303.2
paper2,Hash4096,4,261646.3
paper2,Hash4096,5,265346.8
paper2,Hash4096,6,268540.8
paper2,Hash4096,7,271359.3
paper2,Hash4096,8,273854
paper2,Hash4096,9,275893.2
paper2,Hash8192,1,300982.6
paper2,Hash8192,2,265113.5
paper2,Hash8192,3,254826.2
paper2,Hash8192,4,256415.4
paper2,Hash8192,5,258935.3
paper2,Hash8192,6,261253.9
paper2,Hash8192,7,263143.1
paper2,Hash8192,8,264588.8
paper2,Hash8192,9,266204.2
paper2,Hash16384,1,300982.6
paper2,Hash16384,2,261928.9
paper2,Hash16384,3,253132
paper2,Hash16384,4,253254.9
paper2,Hash16384,5,254804.9
paper2,Hash16384,6,256025.4
paper2,Hash16384,7,257052.9
paper2,Hash16384,8,258030.2
paper2,Hash16384,9,258997.6
paper2,Hash32768,1,300982.6
paper2,Hash32768,2,261928.9
paper2,Hash32768,3,251910.7
paper2,Hash32768,4,251538.3
paper2,Hash32768,5,252276.4
paper2,Hash32768,6,252895.1
paper2,Hash32768,7,253571.6
paper2,Hash32768,8,254341.3
paper2,Hash32768,9,254801.6
paper2,Hash65536,1,300982.6
paper2,Hash65536,2,261928.9
paper2,Hash65536,3,251426.4
paper2,Hash65536,4,250795.8
paper2,Hash65536,5,251267.6
paper2,Hash65536,6,251532.7
paper2,Hash65536,7,251864.6
paper2,Hash65536,8,252129.7
paper2,Hash65536,9,252414.1
paper2,Hash131072,1,300982.6
paper2,Hash131072,2,261928.9
paper2,Hash131072,3,250913.3
paper2,Hash131072,4,250038.6
paper2,Hash131072,5,250317
paper2,Hash131072,6,250458.4
paper2,Hash131072,7,250618.5
paper2,Hash131072,8,250635.5
paper2,Hash131072,9,250723.1
paper2,Hash262144,1,300982.6
paper2,Hash262144,2,261928.9
paper2,Hash262144,3,250826.1
paper2,Hash262144,4,249916.9
paper2,Hash262144,5,250066.7
paper2,Hash262144,6,250128.3
paper2,Hash262144,7,250235
paper2,Hash262144,8,250205.6
paper2,Hash262144,9,250263.5
paper2,Hash524288,1,300982.6
paper2,Hash524288,2,261928.9
paper2,Hash524288,3,250822.1
paper2,Hash524288,4,249909
paper2,Hash524288,5,250014.4
paper2,Hash524288,6,250095.4
paper2,Hash524288,7,250128.4
paper2,Hash524288,8,250126.2
paper2,Hash524288,9,250112.1
paper3,Hash128,1,175652.8
paper3,Hash128,2,177676.6
paper3,Hash128,3,182598.1
paper3,Hash128,4,186210.3
paper3,Hash128,5,188803.6
paper3,Hash128,6,191191.4
paper3,Hash128,7,193370.3
paper3,Hash128,8,194540.7
paper3,Hash128,9,196356.9
paper3,Hash256,1,175652.8
paper3,Hash256,2,172230.5
paper3,Hash256,3,176781.7
paper3,Hash256,4,179544.8
paper3,Hash256,5,182888.8
paper3,Hash256,6,185025.8
paper3,Hash256,7,186201.2
paper3,Hash256,8,188042.2
paper3,Hash256,9,189361.7
paper3,Hash512,1,175652.8
paper3,Hash512,2,167547.5
paper3,Hash512,3,170775.8
paper3,Hash512,4,174292
paper3,Hash512,5,176765
paper3,Hash512,6,178669.2
paper3,Hash512,7,181166.4
paper3,Hash512,8,181590.9
paper3,Hash512,9,183240
paper3,Hash1024,1,175677.8
paper3,Hash1024,2,165235.1
paper3,Hash1024,3,166372.4
paper3,Hash1024,4,169235.4
paper3,Hash1024,5,171253.9
paper3,Hash1024,6,172896.9
paper3,Hash1024,7,174124.8
paper3,Hash1024,8,175585.3
paper3,Hash1024,9,176492
paper3,Hash2048,1,175677.8
paper3,Hash2048,2,163867.1
paper3,Hash2048,3,163809.8
paper3,Hash2048,4,165530.4
paper3,Hash2048,5,167006.7
paper3,Hash2048,6,168327.3
paper3,Hash2048,7,169482.3
paper3,Hash2048,8,170533
paper3,Hash2048,9,171700.3
paper3,Hash4096,1,175677.8
paper3,Hash4096,2,163447.3
paper3,Hash4096,3,161730.8
paper3,Hash4096,4,162838
paper3,Hash4096,5,163880.2
paper3,Hash4096,6,164960
paper3,Hash4096,7,166045.7
paper3,Hash4096,8,166708.6
paper3,Hash4096,9,167213.3
paper3,Hash8192,1,175677.8
paper3,Hash8192,2,163314.3
paper3,Hash8192,3,160961.9
paper3,Hash8192,4,161501.9
paper3,Hash8192,5,161752.6
paper3,Hash8192,6,162650.5
paper3,Hash8192,7,163196.2
paper3,Hash8192,8,163477.5
paper3,Hash8192,9,163850
paper3,Hash16384,1,175677.8
paper3,Hash16384,2,161796.4
paper3,Hash16384,3,159862.5
