File,Alphabet,TS,Depth,Entropy
news,Byte,8192,8,1392079
news,Byte,8192,9,1406621
news,Byte,16384,1,1568498
news,Byte,16384,2,1327883
news,Byte,16384,3,1264068
news,Byte,16384,4,1271784
news,Byte,16384,5,1289652
news,Byte,16384,6,1302655
news,Byte,16384,7,1316718
news,Byte,16384,8,1329818
news,Byte,16384,9,1341462
news,Byte,32768,1,1568498
news,Byte,32768,2,1327883
news,Byte,32768,3,1248251
news,Byte,32768,4,1246749
news,Byte,32768,5,1256316
news,Byte,32768,6,1267078
news,Byte,32768,7,1276341
news,Byte,32768,8,1285470
news,Byte,32768,9,1293406
news,Byte,65536,1,1568498
news,Byte,65536,2,1327883
news,Byte,65536,3,1240557
news,Byte,65536,4,1231856
news,Byte,65536,5,1235784
news,Byte,65536,6,1241223
news,Byte,65536,7,1247248
news,Byte,65536,8,1252741
news,Byte,65536,9,1258204
news,Byte,131072,1,1568498
news,Byte,131072,2,1327883
news,Byte,131072,3,1231625
news,Byte,131072,4,1220268
news,Byte,131072,5,1221782
news,Byte,131072,6,1224017
news,Byte,131072,7,1226599
news,Byte,131072,8,1229802
news,Byte,131072,9,1231949
news,Byte,262144,1,1568498
news,Byte,262144,2,1327883
news,Byte,262144,3,1228720
news,Byte,262144,4,1216851
news,Byte,262144,5,1216636
news,Byte,262144,6,1217201
news,Byte,262144,7,1218052
news,Byte,262144,8,1218481
news,Byte,262144,9,1220582
news,Byte,524288,1,1568498
news,Byte,524288,2,1327883
news,Byte,524288,3,1228089
news,Byte,524288,4,1215426
news,Byte,524288,5,1214385
news,Byte,524288,6,1214533
news,Byte,524288,7,1214836
news,Byte,524288,8,1215424
news,Byte,524288,9,1215785
obj1,Byte,128,1,104372
obj1,Byte,128,2,109270.9
obj1,Byte,128,3,111823.5
obj1,Byte,128,4,114276.5
obj1,Byte,128,5,115634.6
obj1,Byte,128,6,117130.9
obj1,Byte,128,7,118276.7
obj1,Byte,128,8,118580.2
obj1,Byte,128,9,119200
obj1,Byte,256,1,100038.2
obj1,Byte,256,2,104028.4
obj1,Byte,256,3,106604.3
obj1,Byte,256,4,109506.5
obj1,Byte,256,5,110916.2
obj1,Byte,256,6,111322.5
obj1,Byte,256,7,113342.7
obj1,Byte,256,8,113813.7
obj1,Byte,256,9,115389.2
obj1,Byte,512,1,100038.2
obj1,Byte,512,2,100554.2
obj1,Byte,512,3,102083.7
obj1,Byte,512,4,104454.1
obj1,Byte,512,5,106365.9
obj1,Byte,512,6,107921.5
obj1,Byte,512,7,109221.7
obj1,Byte,512,8,110177.9
obj1,Byte,512,9,110771.9
obj1,Byte,1024,1,100049
obj1,Byte,1024,2,98041.53
obj1,Byte,1024,3,98817.98
obj1,Byte,1024,4,100521.6
obj1,Byte,1024,5,101874.5
obj1,Byte,1024,6,103051.1
obj1,Byte,1024,7,104271.4
obj1,Byte,1024,8,105029.6
obj1,Byte,1024,9,106471.7
obj1,Byte,2048,1,100049
