File,Alphabet,TS,Depth,Entropy
alice29.txt,Byte,524288,9,417267
alice29.txt,Byte,1048576,1,533408.3
alice29.txt,Byte,1048576,2,446248.6
alice29.txt,Byte,1048576,3,418180.7
alice29.txt,Byte,1048576,4,417029.8
alice29.txt,Byte,1048576,5,416924.1
alice29.txt,Byte,1048576,6,417076.8
alice29.txt,Byte,1048576,7,417092.2
alice29.txt,Byte,1048576,8,417038
alice29.txt,Byte,1048576,9,417084.2
asyoulik.txt,Byte,128,1,441549.2
asyoulik.txt,Byte,128,2,465987.5
asyoulik.txt,Byte,128,3,485689
asyoulik.txt,Byte,128,4,497395.7
asyoulik.txt,Byte,128,5,508281.7
asyoulik.txt,Byte,128,6,515783.7
asyoulik.txt,Byte,128,7,514561.5
asyoulik.txt,Byte,128,8,522715.1
asyoulik.txt,Byte,128,9,520954.3
asyoulik.txt,Byte,256,1,441549.2
asyoulik.txt,Byte,256,2,442989.6
asyoulik.txt,Byte,256,3,459945.3
asyoulik.txt,Byte,256,4,472331.3
asyoulik.txt,Byte,256,5,484185.7
asyoulik.txt,Byte,256,6,490210.7
asyoulik.txt,Byte,256,7,497096.2
asyoulik.txt,Byte,256,8,503982.9
asyoulik.txt,Byte,256,9,506986.6
asyoulik.txt,Byte,512,1,441549.2
asyoulik.txt,Byte,512,2,419708.7
asyoulik.txt,Byte,512,3,435694.6
asyoulik.txt,Byte,512,4,450115.4
asyoulik.txt,Byte,512,5,459058.6
asyoulik.txt,Byte,512,6,466837.7
asyoulik.txt,Byte,512,7,474048.9
asyoulik.txt,Byte,512,8,483498.4
asyoulik.txt,Byte,512,9,486784.4
asyoulik.txt,Byte,1024,1,441422.4
asyoulik.txt,Byte,1024,2,407578.1
asyoulik.txt,Byte,1024,3,414211
asyoulik.txt,Byte,1024,4,426293.4
asyoulik.txt,Byte,1024,5,434893.2
asyoulik.txt,Byte,1024,6,443711.1
asyoulik.txt,Byte,1024,7,450276.3
asyoulik.txt,Byte,1024,8,456703.1
asyoulik.txt,Byte,1024,9,461706.8
asyoulik.txt,Byte,2048,1,441422.4
asyoulik.txt,Byte,2048,2,396332.1
asyoulik.txt,Byte,2048,3,397374.6
asyoulik.txt,Byte,2048,4,407919.2
asyoulik.txt,Byte,2048,5,415524.3
asyoulik.txt,Byte,2048,6,422638
asyoulik.txt,Byte,2048,7,428462.1
asyoulik.txt,Byte,2048,8,434177
asyoulik.txt,Byte,2048,9,439179
asyoulik.txt,Byte,4096,1,441422.4
asyoulik.txt,Byte,4096,2,387198.4
asyoulik.txt,Byte,4096,3,383727.8
asyoulik.txt,Byte,4096,4,390148.5
asyoulik.txt,Byte,4096,5,397496.6
asyoulik.txt,Byte,4096,6,402465.1
asyoulik.txt,Byte,4096,7,407885.2
asyoulik.txt,Byte,4096,8,411600.7
asyoulik.txt,Byte,4096,9,415500.5
asyoulik.txt,Byte,8192,1,441422.4
asyoulik.txt,Byte,8192,2,385941.1
asyoulik.txt,Byte,8192,3,378414.6
asyoulik.txt,Byte,8192,4,381815.6
asyoulik.txt,Byte,8192,5,386345.9
asyoulik.txt,Byte,8192,6,390137.9
asyoulik.txt,Byte,8192,7,393177.8
asyoulik.txt,Byte,8192,8,396246.9
asyoulik.txt,Byte,8192,9,398760.4
asyoulik.txt,Byte,16384,1,441422.4
asyoulik.txt,Byte,16384,2,382360.5
asyoulik.txt,Byte,16384,3,374580.1
asyoulik.txt,Byte,16384,4,375691.7
asyoulik.txt,Byte,16384,5,377859.2
asyoulik.txt,Byte,16384,6,380339.5
asyoulik.txt,Byte,16384,7,382178.4
asyoulik.txt,Byte,16384,8,384606
asyoulik.txt,Byte,16384,9,386457.5
asyoulik.txt,Byte,32768,1,441422.4
asyoulik.txt,Byte,32768,2,382360.5
asyoulik.txt,Byte,32768,3,373081.2
asyoulik.txt,Byte,32768,4,373285.6
asyoulik.txt,Byte,32768,5,374523.7
asyoulik.txt,Byte,32768,6,375648.4
asyoulik.txt,Byte,32768,7,376715
asyoulik.txt,Byte,32768,8,377917.9
asyoulik.txt,Byte,32768,9,379166.4
asyoulik.txt,Byte,65536,1,441422.4
asyoulik.txt,Byte,65536,2,382360.5
asyoulik.txt,Byte,65536,3,372298
asyoulik.txt,Byte,65536,4,372062.9
asyoulik.txt,Byte,65536,5,372798.7
asyoulik.txt,Byte,65536,6,373443
asyoulik.txt,Byte,65536,7,373995.3
asyoulik.txt,Byte,65536,8,374572.8
asyoulik.txt,Byte,65536,9,375053.7
asyoulik.txt,Byte,131072,1,441422.4
asyoulik.txt,Byte,131072,2,382360.5
asyoulik.txt,Byte,131072,3,371477.9
asyoulik.txt,Byte,131072,4,370908.2
asyoulik.txt,Byte,131072,5,371208.1
asyoulik.txt,Byte,131072,6,371502.1
asyoulik.txt,Byte,131072,7,371778.1
asyoulik.txt,Byte,131072,8,371975.3
asyoulik.txt,Byte,131072,9,372119.7
asyoulik.txt,Byte,262144,1,441422.4
asyoulik.txt,Byte,262144,2,382360.5
asyoulik.txt,Byte,262144,3,371387
asyoulik.txt,Byte,262144,4,370663.8
asyoulik.txt,Byte,262144,5,370784.6
asyoulik.txt,Byte,262144,6,370923.4
asyoulik.txt,Byte,262144,7,371067.5
asyoulik.txt,Byte,262144,8,371141.2
asyoulik.txt,Byte,262144,9,371189.3
asyoulik.txt,Byte,524288,1,441422.4
asyoulik.txt,Byte,524288,2,382360.5
asyoulik.txt,Byte,524288,3,371331.8
asyoulik.txt,Byte,524288,4,370558.7
asyoulik.txt,Byte,524288,5,370544.6
asyoulik.txt,Byte,524288,6,370570
asyoulik.txt,Byte,524288,7,370668.2
asyoulik.txt,Byte,524288,8,370650.7
asyoulik.txt,Byte,524288,9,370634.3
asyoulik.txt,Byte,1048576,1,441422.4
asyoulik.txt,Byte,1048576,2,382360.5
asyoulik.txt,Byte,1048576,3,371276.5
asyoulik.txt,Byte,1048576,4,370511.6
asyoulik.txt,Byte,1048576,5,370536.3
asyoulik.txt,Byte,1048576,6,370549.8
asyoulik.txt,Byte,1048576,7,370573.6
asyoulik.txt,Byte,1048576,8,370553.6
asyoulik.txt,Byte,1048576,9,370518.9
cp.html,Byte,128,1,96168.7
cp.html,Byte,128,2,97306.79
cp.html,Byte,128,3,100313.9
cp.html,Byte,128,4,102147.4
cp.html,Byte,128,5,106026.4
cp.html,Byte,128,6,107187.2
cp.html,Byte,128,7,108913
cp.html,Byte,128,8,110005
cp.html,Byte,128,9,111782.6
cp.html,Byte,256,1,96168.7
cp.html,Byte,256,2,92931.74
